dataLabel,cycle,insertions(fwd),insertions(rev),deletions(fwd),deletions(rev)
IC,1,0,0,194,256
IC,2,21,65,233,428
IC,3,136,452,683,1177
IC,4,411,867,867,2206
IC,5,789,1871,1215,3288
IC,6,883,2201,1354,4030
IC,7,970,2558,1446,4132
IC,8,1098,2533,1553,4332
IC,9,1154,2587,1676,4360
IC,10,1251,2855,1682,4565
IC,11,1336,2856,1789,4484
IC,12,1352,2900,1915,4431
IC,13,1475,3117,1948,4725
IC,14,1544,3294,2040,4640
IC,15,1522,3181,2188,4675
IC,16,1680,3264,2243,4944
IC,17,1756,3468,2360,4901
IC,18,1848,3468,2456,5080
IC,19,1978,3433,2565,5139
IC,20,2034,3459,2715,5315
IC,21,2550,3708,2791,5416
IC,22,3376,3653,2807,5489
IC,23,7841,3728,3124,5545
IC,24,10322,3699,3167,5711
IC,25,5220,3852,3469,5762
IC,26,4009,3935,3480,5858
IC,27,3477,4214,3686,5441
IC,28,3366,4350,3593,5627
IC,29,3178,4215,3671,5652
IC,30,3236,4238,3770,5591
IC,31,3188,4082,3566,5273
IC,32,3588,4101,3652,5048
IC,33,3320,4179,3696,4996
IC,34,3402,4170,3786,5060
IC,35,3256,4119,3660,5289
IC,36,3218,4013,3960,5108
IC,37,2993,4011,4092,5139
IC,38,2872,4066,3787,5137
IC,39,2922,4143,3870,5132
IC,40,2988,3851,3727,5184
IC,41,2995,3933,3776,5263
IC,42,2998,3878,3618,5201
IC,43,3004,3803,3721,5193
IC,44,2993,3808,3681,5283
IC,45,2945,3667,3855,5231
IC,46,2907,3508,3780,5353
IC,47,2971,3495,3623,5489
IC,48,3130,3332,3658,5585
IC,49,2960,3308,3623,5632
IC,50,3046,3292,3637,5476
IC,51,3121,3427,3713,5176
IC,52,2942,3451,3674,4944
IC,53,3015,3380,3725,4851
IC,54,2906,3382,3608,4774
IC,55,3006,3177,3596,4612
IC,56,2834,3158,3579,4336
IC,57,2793,3087,3439,4299
IC,58,2871,3068,3496,4203
IC,59,2816,2966,3593,4153
IC,60,2711,2838,3404,3864
IC,61,2682,2858,3402,3835
IC,62,2610,2625,3291,3728
IC,63,2497,2556,3207,3511
IC,64,2487,2797,3083,3413
IC,65,2378,2832,2999,3073
IC,66,2304,3845,2929,3082
IC,67,2134,2574,2752,2972
IC,68,2172,2200,2530,2919
IC,69,1913,2098,2347,2550
IC,70,1732,1770,1596,1533
IC,71,1125,893,890,931
IC,72,510,310,125,93
IC,73,223,129,62,52
IC,74,63,40,37,40
