dataLabel,cycle,insertions(fwd),insertions(rev),deletions(fwd),deletions(rev)
IC,1,0,0,259,306
IC,2,25,88,313,600
IC,3,207,523,776,1493
IC,4,578,1145,1129,2781
IC,5,963,2330,1457,4197
IC,6,1109,2587,1778,4635
IC,7,1338,2981,1841,4825
IC,8,1340,3141,1992,5174
IC,9,1618,3224,2127,5177
IC,10,1660,3452,2190,5394
IC,11,1725,3545,2297,5134
IC,12,1916,3556,2311,5299
IC,13,1878,3864,2403,5369
IC,14,2033,3989,2492,5470
IC,15,2127,4029,2727,5520
IC,16,2182,4019,2706,5677
IC,17,2205,4104,2972,5754
IC,18,2292,4156,3105,6052
IC,19,2429,4227,3209,6148
IC,20,2586,4390,3241,6371
IC,21,3247,4447,3460,6481
IC,22,4230,4447,3643,6467
IC,23,9072,4552,3817,6617
IC,24,11699,4592,3816,6838
IC,25,6120,4603,4014,6853
IC,26,4862,4823,4220,6781
IC,27,4317,5103,4219,6625
IC,28,3976,5319,4397,6713
IC,29,3818,5076,4451,6733
IC,30,3970,5027,4430,6821
IC,31,3874,5095,4362,6280
IC,32,4430,4917,4467,6179
IC,33,4183,4996,4354,6060
IC,34,4066,5108,4464,6095
IC,35,3960,4899,4453,6228
IC,36,3824,4995,4501,6173
IC,37,3650,4815,4661,6323
IC,38,3506,4768,4449,6083
IC,39,3629,4916,4511,6038
IC,40,3492,4714,4510,6151
IC,41,3676,4686,4457,6064
IC,42,3766,4671,4317,6155
IC,43,3687,4656,4548,6186
IC,44,3713,4527,4356,6264
IC,45,3616,4510,4390,6305
IC,46,3728,4384,4243,6265
IC,47,3639,4255,4417,6565
IC,48,3691,4111,4239,6692
IC,49,3593,3931,4332,6770
IC,50,3645,4055,4284,6308
IC,51,3603,4164,4245,6088
IC,52,3482,4220,4232,5999
IC,53,3743,4023,4377,5714
IC,54,3458,4217,4179,5658
IC,55,3543,3880,4248,5454
IC,56,3441,3799,4242,5309
IC,57,3298,3877,4360,5186
IC,58,3273,3726,4260,5063
IC,59,3202,3605,4183,4833
IC,60,3213,3507,4026,4675
IC,61,3170,3507,4072,4568
IC,62,3189,3211,3809,4375
IC,63,3032,3092,3731,4258
IC,64,2954,3336,3826,4013
IC,65,2932,3263,3631,3969
IC,66,2807,4466,3527,3701
IC,67,2573,2954,3294,3667
IC,68,2539,2631,3117,3421
IC,69,2262,2409,2716,2925
IC,70,2118,2170,1833,1816
IC,71,1364,1217,1135,1112
IC,72,610,348,137,128
IC,73,269,143,68,60
IC,74,71,53,61,37
