dataLabel,cycle,insertions(fwd),insertions(rev),deletions(fwd),deletions(rev)
IC,1,0,0,158,228
IC,2,17,81,251,488
IC,3,122,406,622,1310
IC,4,359,873,838,2423
IC,5,726,2155,1045,3691
IC,6,792,2323,1287,4284
IC,7,926,2584,1314,4267
IC,8,1053,2769,1481,4611
IC,9,1129,2810,1598,4448
IC,10,1179,3049,1625,4513
IC,11,1314,3089,1719,4529
IC,12,1314,3077,1766,4641
IC,13,1479,3167,1816,4691
IC,14,1525,3388,1968,4861
IC,15,1555,3404,2090,4639
IC,16,1518,3495,2175,4905
IC,17,1733,3541,2358,5162
IC,18,1708,3640,2437,5215
IC,19,1867,3636,2558,5313
IC,20,1973,3522,2598,5434
IC,21,2348,3847,2761,5661
IC,22,3160,3845,2864,5610
IC,23,7047,3755,2946,5891
IC,24,10097,3992,3308,5778
IC,25,5040,3952,3267,6052
IC,26,3976,4260,3415,5904
IC,27,3374,4452,3633,5836
IC,28,3150,4585,3672,5885
IC,29,3165,4352,3757,5788
IC,30,3128,4368,3678,5680
IC,31,3231,4458,3765,5464
IC,32,3791,4437,3717,5184
IC,33,3278,4282,3807,5118
IC,34,3489,4336,3633,5217
IC,35,3254,4265,3712,5083
IC,36,3109,4227,3888,5287
IC,37,3142,4262,3999,5247
IC,38,2826,4066,3875,5307
IC,39,2982,4308,3802,5312
IC,40,2927,4012,3797,5206
IC,41,2987,4145,3714,5284
IC,42,2989,4014,3702,5351
IC,43,2922,3976,3611,5331
IC,44,2977,3983,3707,5472
IC,45,3071,3969,3613,5492
IC,46,3015,3736,3582,5372
IC,47,3030,3544,3636,5661
IC,48,2961,3455,3622,5781
IC,49,3014,3476,3557,5851
IC,50,3081,3387,3669,5521
IC,51,2945,3525,3726,5234
IC,52,2977,3484,3532,5149
IC,53,3065,3396,3724,5090
IC,54,2968,3564,3592,4756
IC,55,2925,3321,3684,4634
IC,56,2952,3454,3553,4487
IC,57,2854,3321,3636,4520
IC,58,2909,3100,3517,4349
IC,59,2809,3113,3502,3985
IC,60,2740,3032,3446,3907
IC,61,2673,2906,3403,3912
IC,62,2681,2743,3309,3828
IC,63,2464,2617,3217,3629
IC,64,2489,2726,3256,3589
IC,65,2493,2883,3128,3325
IC,66,2270,3904,2925,3122
IC,67,2245,2377,2845,2978
IC,68,2120,2213,2683,2915
IC,69,1933,1979,2315,2423
IC,70,1602,1722,1555,1464
IC,71,1203,883,995,986
IC,72,534,233,128,106
IC,73,210,95,75,36
IC,74,47,30,43,34
